vm dc1spine1, ip 172.16.51.101, mac 56:04:0d:00:57:9f
vm dc1spine2, ip 172.16.51.102, mac 56:04:0d:00:5b:37
vm dc1spine3, ip 172.16.51.103, mac 56:04:0d:00:73:4b
vm dc1spine4, ip 172.16.51.104, mac 56:04:0d:00:50:41
vm dc1leaf1, ip 172.16.51.111, mac 56:04:0d:00:4f:2e
vm dc1leaf2, ip 172.16.51.112, mac 56:04:0d:00:6d:11
vm dc1leaf3, ip 172.16.51.113, mac 56:04:0d:00:6c:92
vm dc1leaf4, ip 172.16.51.114, mac 56:04:0d:00:38:77
vm dc1leaf5, ip 172.16.51.115, mac 56:04:0d:00:72:d8
vm dc1leaf6, ip 172.16.51.116, mac 56:04:0d:00:6d:db
vm dc1leaf7, ip 172.16.51.117, mac 56:04:0d:00:61:66
vm dc1leaf8, ip 172.16.51.118, mac 56:04:0d:00:3f:e7
