vm dc1spine1, ip 172.16.51.101, mac 56:04:26:00:60:ee
vm dc1spine2, ip 172.16.51.102, mac 56:04:26:00:60:e1
vm dc1spine3, ip 172.16.51.103, mac 56:04:26:00:28:ba
vm dc1spine4, ip 172.16.51.104, mac 56:04:26:00:60:d5
vm dc1leaf1, ip 172.16.51.111, mac 56:04:26:00:60:c8
vm dc1leaf2, ip 172.16.51.112, mac 56:04:26:00:60:bb
vm dc1leaf3, ip 172.16.51.113, mac 56:04:26:00:60:ae
vm dc1leaf4, ip 172.16.51.114, mac 56:04:26:00:60:a1
vm dc1leaf5, ip 172.16.51.115, mac 56:04:26:00:60:94
vm dc1leaf6, ip 172.16.51.116, mac 56:04:26:00:60:87
vm dc1leaf7, ip 172.16.51.117, mac 56:04:26:00:60:7a
vm dc1leaf8, ip 172.16.51.118, mac 56:04:26:00:60:6d

